gene	EEP	MEP	LEP	ESP	LSP	gap	25&deg;C	gap	Cold shock (15&deg;C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
tpke11	108	346	53	69	10		74		342	37	159	560	278	486	113		51	160		157	102	66	107	149		tpke11		sRNA	13507	13591	+			SL1344_tpke11
STnc890	62	438	89	249	114		94		383	143	201	845	438	491	495		142	208		224	269	374	107	1,574		STnc890		sRNA	14720	14783	+			SL1344_STnc890
STnc3200	9	10	18	48	33		11		0	20	14	7	12	20	82		40	11		20	18	24	22	68		STnc3200		sRNA	16445	16493	-			SL1344_STnc3200
STnc3210	9	10	39	10	89		8		19	4	20	90	13	17	10		14	41		20	65	379	6	86		STnc3210		sRNA	17025	17111	+			SL1344_STnc3210
STnc1010	157	261	339	545	1,327		61		239	368	213	346	307	230	466		314	170		360	287	756	612	606		STnc900		sRNA	41629	41708	+			SL1344_STnc1010
STnc3220	91	66	72	65	38		118		252	150	64	137	69	76	119		80	48		47	40	73	156	112		STnc3220		sRNA	61807	62034	+			SL1344_STnc3220
STnc3090	7	10	7	7	1		9		5	12	22	5	1	14	9		6	8		14	221	168	25	16		STnc3090		sRNA	66916	67048	+			SL1344_STnc3090
STnc4160	23	30	27	62	79		14		9	23	23	30	1	34	44		52	51		49	122	28	56	50		STnc4160		sRNA	66912	67051	-			SL1344_STnc4160
DapZ	559	1,604	10,198	31,764	4,082		1,806		1,721	2,868	1,257	1,492	1,124	1,654	3,134		11,150	16,380		9,464	4,399	4,165	10,799	12,749		DapZ	STnc1020,STnc820	sRNA	74847	74924	+			SL1344_DapZ
STnc3230	30	37	131	143	148		119		10	52	31	141	81	90	87		122	165		45	135	490	60	161		STnc3230		sRNA	74894	75015	-			SL1344_STnc3230
STnc470	58	56	135	406	497		64		54	103	90	493	80	78	113		134	135		736	3,615	6,293	2,035	1,462		STnc910		sRNA	94653	94741	-			SL1344_STnc470
STnc4170	79	51	63	52	33		66		124	94	73	212	42	112	92		97	93		135	89	131	98	334		STnc4170		sRNA	95102	95188	+			SL1344_STnc4170
STnc3240	47	67	60	65	13		37		85	63	72	44	40	95	99		85	65		38	72	102	62	103		STnc3240		sRNA	101322	101483	-			SL1344_STnc3240
STnc4180	57	212	122	101	2		72		249	547	486	81	26	134	63		36	70		114	63	56	52	45		STnc4180		sRNA	109243	109322	-			SL1344_STnc4180
SroA	5,493	25,371	18,751	10,449	2,890		12,656		31,407	51,734	40,294	7,928	282	26,785	25,256		8,206	5,266		3,687	3,477	1,755	3,566	3,522		tpe79		sRNA	126713	126802	-			SL1344_SroA
SgrS	167	518	335	679	130		364		589	728	322	689	384	517	1,018		598	408		531	374	400	501	757		ryaA		sRNA	128577	128808	+			SL1344_SgrS
STnc1500	26	37	59	127	55		36		24	64	43	112	9	50	89		99	109		74	169	105	80	83		STnc1500		sRNA	138100	138274	-			SL1344_STnc1500
tp2	1	0	1	2	2		1		3	0	0	0	1	0	6		3	2		1	3	5	2	6		tp2		sRNA	176086	176242	-			SL1344_tp2
STnc4190	44	55	35	23	4		48		54	27	26	69	22	73	62		32	26		37	55	51	18	68		STnc4190		sRNA	209868	209971	-			SL1344_STnc4190
STnc3250	177	140	12	24	55		194		150	231	130	110	353	413	32		20	43		81	8	9	358	33		STnc3250		sRNA	223451	223676	-			SL1344_STnc3250
STnc1510	58	98	113	186	57		45		122	93	137	167	46	179	337		187	77		69	50	200	295	345		STnc1510		sRNA	237091	237187	+			SL1344_STnc1510
STnc3100	84	128	135	137	271		87		106	92	108	236	150	116	165		142	136		136	169	204	69	156		STnc3100		sRNA	245838	245954	+			SL1344_STnc3100
STnc3110	39	42	89	127	274		71		61	81	57	154	49	50	96		88	104		59	168	324	114	165		STnc3110		sRNA	249153	249274	+			SL1344_STnc3110
t44	2,914	2,499	2,166	451	8		1,965		1,856	575	2,066	1,588	1,872	1,791	348		379	1,572		1,941	1,062	474	171	219		t44		sRNA	254126	254264	+			SL1344_t44
sRNA1	387	776	579	658	609		428		525	700	890	352	428	659	636		813	508		493	577	331	568	468		sRNA1		sRNA	257725	257790	+			SL1344_sRNA1
STnc920	475	654	431	331	26		428		445	424	442	1,014	389	585	380		239	351		514	486	330	226	203		STnc920		sRNA	259116	259164	+			SL1344_STnc920
IsrA	0	0	1	0	0		2		2	1	0	0	0	0	0		0	0		0	0	0	0	0		IsrA		sRNA	338816	339238	+			SL1344_IsrA
STnc1030	7	6	7	8	2		2		6	8	15	9	9	12	13		10	7		5	10	8	4	14		STnc1030		sRNA	350892	351095	+			SL1344_STnc1030
STnc1040	10	6	8	10	0		12		9	3	6	25	7	15	6		5	5		10	8	3	0	9		STnc1040		sRNA	351053	351100	-			SL1344_STnc1040
STnc3270	52	52	33	42	36		52		88	92	54	173	95	69	142		46	41		92	68	59	110	157		STnc3270		sRNA	376115	376194	+			SL1344_STnc3270
STnc1700	37	35	54	77	112		79		52	78	76	199	32	48	10		88	132		77	222	162	56	119		STnc1700		sRNA	386381	386476	+			SL1344_STnc1700
STnc3280	48	65	50	57	12		77		88	141	78	110	69	99	153		70	56		79	79	121	90	178		STnc3280		sRNA	418391	418463	-			SL1344_STnc3280
STnc4150	9	11	35	32	166		17		6	18	23	75	17	44	51		45	59		34	31	83	44	136		STnc4150		sRNA	436953	437082	-			SL1344_STnc4150
STnc1060	563	1,045	1,972	3,233	2,505		1,751		2,503	1,809	1,317	3,059	244	1,411	1,874		2,232	1,853		1,991	1,772	4,377	2,512	4,110		STnc1060		sRNA	466718	466783	-			SL1344_STnc1060
SraA	3	10	7	10	2		10		6	15	23	16	9	15	19		9	10		12	27	14	10	14		psrA/t15		sRNA	504870	504976	-			SL1344_SraA
STnc930	61	66	73	56	149		157		74	76	57	75	64	85	155		145	64		99	144	96	317	149		STnc930		sRNA	514484	514578	+			SL1344_STnc930
STnc3130	29	61	101	208	142		38		42	51	55	106	1	73	152		211	142		154	146	78	163	267		STnc3130		sRNA	545302	545385	-			SL1344_STnc3130
ChiX	52,131	39,128	50,159	74,007	88,840		34,186		61,364	73,649	44,147	49,147	30,624	41,548	56,036		44,804	35,261		88,361	72,142	120,426	148,614	181,741		MicM, SroB, RybC		sRNA	555450	555566	+			SL1344_ChiX
STnc950	15	40	73	165	25		19		36	19	23	20	9	35	91		46	56		61	30	90	24	108		STnc950		sRNA	569023	569074	+			SL1344_STnc950
STnc480	56	215	357	661	342		161		245	191	162	316	204	204	384		311	220		439	316	687	426	639		STnc970		sRNA	587347	587412	-			SL1344_STnc480
